"","V1","V2","V3","V4"
"result.1",0.53,0,0.64,0.64
"result.2",0.43,0,0.4,0.41
"result.3",0.51,0,0.51,0.52
"result.4",0.65,0,0.64,0.68
"result.5",0.48,0,0.49,0.49
"result.6",0.55,0,0.67,0.66
"result.7",0.55,0,0.6,0.6
"result.8",0.62,0,0.72,0.72
"result.9",0.5,0,0.49,0.48
"result.10",0.54,0,0.54,0.53
"result.11",0.58,0,0.52,0.51
"result.12",0.54,0,0.52,0.52
"result.13",0.59,0,0.62,0.63
"result.14",0.54,0,0.59,0.6
"result.15",0.58,0,0.62,0.63
"result.16",0.64,0,0.64,0.65
"result.17",0.43,0,0.52,0.53
"result.18",0.47,0,0.47,0.49
"result.19",0.51,0,0.52,0.52
"result.20",0.49,0,0.43,0.42
"result.21",0.56,0,0.5,0.5
"result.22",0.53,0,0.66,0.65
"result.23",0.53,0,0.61,0.62
"result.24",0.58,0,0.61,0.62
"result.25",0.55,0,0.59,0.59
"result.26",0.56,0,0.64,0.65
"result.27",0.57,0,0.57,0.57
"result.28",0.48,0,0.54,0.53
"result.29",0.5,0,0.54,0.54
"result.30",0.51,0,0.5,0.51
"result.31",0.55,0,0.5,0.5
"result.32",0.5,0,0.5,0.48
"result.33",0.54,0,0.55,0.48
"result.34",0.62,0,0.73,0.72
"result.35",0.57,0,0.59,0.6
"result.36",0.48,0,0.34,0.32
"result.37",0.57,0,0.6,0.63
"result.38",0.52,0,0.49,0.5
"result.39",0.48,0,0.46,0.46
"result.40",0.53,0,0.59,0.59
"result.41",0.61,0,0.62,0.63
"result.42",0.46,0,0.5,0.52
"result.43",0.66,0,0.66,0.66
"result.44",0.48,0,0.57,0.57
"result.45",0.39,0,0.49,0.51
"result.46",0.56,0,0.47,0.48
"result.47",0.63,0,0.6,0.59
"result.48",0.51,0,0.55,0.56
"result.49",0.51,0,0.55,0.55
"result.50",0.45,0,0.48,0.43
"result.51",0.56,0,0.6,0.61
"result.52",0.52,0,0.48,0.48
"result.53",0.57,0,0.58,0.58
"result.54",0.58,0,0.59,0.59
"result.55",0.53,0,0.5,0.51
"result.56",0.58,0,0.68,0.68
"result.57",0.49,0,0.55,0.55
"result.58",0.44,0,0.42,0.42
"result.59",0.53,0,0.62,0.57
"result.60",0.63,0,0.62,0.63
"result.61",0.49,0,0.5,0.48
"result.62",0.63,0,0.67,0.67
"result.63",0.63,0,0.67,0.67
"result.64",0.51,0,0.54,0.54
"result.65",0.58,0,0.63,0.62
"result.66",0.43,0,0.46,0.44
"result.67",0.57,0,0.69,0.69
"result.68",0.56,0,0.61,0.61
"result.69",0.57,0,0.58,0.58
"result.70",0.4,0,0.41,0.4
"result.71",0.47,0,0.59,0.58
"result.72",0.42,0,0.59,0.6
"result.73",0.61,0,0.54,0.54
"result.74",0.38,0,0.38,0.38
"result.75",0.5,0,0.54,0.54
"result.76",0.45,0,0.55,0.52
"result.77",0.52,0,0.69,0.68
"result.78",0.42,0,0.55,0.57
"result.79",0.49,0,0.63,0.63
"result.80",0.54,0,0.54,0.54
"result.81",0.49,0,0.52,0.5
"result.82",0.62,0,0.61,0.61
"result.83",0.44,0,0.46,0.47
"result.84",0.5,0,0.7,0.7
"result.85",0.56,0,0.56,0.56
"result.86",0.51,0,0.55,0.56
"result.87",0.62,0,0.66,0.65
"result.88",0.55,0,0.67,0.65
"result.89",0.59,0,0.63,0.6
"result.90",0.5,0,0.48,0.48
"result.91",0.49,0,0.54,0.56
"result.92",0.57,0,0.58,0.58
"result.93",0.55,0,0.55,0.55
"result.94",0.54,0,0.49,0.5
"result.95",0.58,0,0.57,0.57
"result.96",0.54,0,0.53,0.5
"result.97",0.52,0,0.47,0.46
"result.98",0.61,0,0.64,0.65
"result.99",0.49,0,0.49,0.48
"result.100",0.4,0,0.48,0.31
